product_id,title,vendor,price,image_path
32,SKF Ball Bearings 6214 ZZ,SKF,3714.0,D:\ai_warehouse\raw_images\shopify_store\skf\skf_ball_bearings_6214_zz_70mmx125mmx24mm_rs_3714.0.jpg
33,MAFPRO Laser Distance Meter | Digital Distance Measuring Tool | High Accuracy,MAF PRO,1178.0,D:\ai_warehouse\raw_images\shopify_store\maf_pro\mafpro_laser_distance_meter_digital_distance_measuring_tool_high_accuracy_laser_distance_meter_rs_1178.0.jpg
34,16 Inch 2B V Pulley | Cast Iron Double Groove V-Belt Pulley | Heavy Duty,Generic,2025.0,D:\ai_warehouse\raw_images\shopify_store\generic\16_inch_2b_v_pulley_cast_iron_double_groove_v_belt_pulley_heavy_duty_v_belt_pulley_rs_2025.0.jpg
35,14 Inch 2B V Pulley | Cast Iron Double Groove V-Belt Pulley | Heavy Duty,Generic,1772.0,D:\ai_warehouse\raw_images\shopify_store\generic\14_inch_2b_v_pulley_cast_iron_double_groove_v_belt_pulley_heavy_duty_14_inch_rs_1772.0.jpg
36,MAFPRO Digital Vernier Caliper 300 mm | Heavy-Duty Digital Measuring Tool,MAF PRO,2290.0,D:\ai_warehouse\raw_images\shopify_store\maf_pro\mafpro_digital_vernier_caliper_300_mm_heavy_duty_digital_measuring_tool_digital_vernier_caliper_rs_2290.0.jpg
37,,,,D:\ai_warehouse\raw_images\shopify_store\unknown_brand\nan_nan_rs_nan.jpg
38,MAFPRO Digital Vernier Caliper 150 mm | LCD Display | Precision Measuring Tool,MAF PRO,845.0,D:\ai_warehouse\raw_images\shopify_store\maf_pro\mafpro_digital_vernier_caliper_150_mm_lcd_display_precision_measuring_tool_digital_vernier_caliper_rs_845.0.jpg
39,MAFPRO Vernier Caliper 300 mm – Normal Type | Precision Measuring Tool,MAF PRO,975.0,D:\ai_warehouse\raw_images\shopify_store\maf_pro\mafpro_vernier_caliper_300_mm_normal_type_precision_measuring_tool_manual_vernier_caliper_rs_975.0.jpg
40,MAF PRO 650W Electric Drill Machine Kit with Accessories (Tool Kit Combo),MAF PRO,2110.0,D:\ai_warehouse\raw_images\shopify_store\maf_pro\maf_pro_650w_electric_drill_machine_kit_with_accessories_tool_kit_combo_650_watts_rs_2110.0.jpg
41,XLNT Smart Choice Electric Drill Machine (Corded) – Heavy Duty Hand Drill,XLNT,717.0,D:\ai_warehouse\raw_images\shopify_store\xlnt\xlnt_smart_choice_electric_drill_machine_corded_heavy_duty_hand_drill_smart_choice_electric_drill_rs_717.0.jpg
42,XLNT XTCHAW184 Cordless Car Washer - 18V Battery Pressure Washer with Dual Battery - Portable High Pressure Cleaner,XLNT,1355.0,D:\ai_warehouse\raw_images\shopify_store\xlnt\xlnt_xtchaw184_cordless_car_washer_18v_battery_pressure_washer_with_dual_battery_portable_high_pressure_cleaner_xtchaw184_rs_1355.0.jpg
43,NACHI Quest 25TAB06U/GM P4 – 25mm Super Precision Ball Screw Support Bearing,Nachi Quest,695.0,D:\ai_warehouse\raw_images\shopify_store\nachi_quest\nachi_quest_25tab06u_gm_p4_25mm_super_precision_ball_screw_support_bearing_25tab06u_gm_p4_rs_695.0.jpg
44,,,,D:\ai_warehouse\raw_images\shopify_store\unknown_brand\nan_nan_rs_nan.jpg
45,SKF BSD 2562 CGA _ VU1703 25 mm Bore Ball-Screw Support Bearing – Precision Angular Contact Thrust Bearing,SKF,2390.0,D:\ai_warehouse\raw_images\shopify_store\skf\skf_bsd_2562_cga_vu1703_25_mm_bore_ball_screw_support_bearing_precision_angular_contact_thrust_bearing_25_mm_rs_2390.0.jpg
46,NSK 25TAC62CSUHPN7C 25 mm Bore Angular Contact Thrust Bearing – High Rigidity for Ball Screws,NSK,1390.0,D:\ai_warehouse\raw_images\shopify_store\nsk\nsk_25tac62csuhpn7c_25_mm_bore_angular_contact_thrust_bearing_high_rigidity_for_ball_screws_25_mm_rs_1390.0.jpg
47,NACHI 25TAB06U/GM P4 25 mm Bore Super-Precision Ball-Screw Support Bearing (Angular Contact),NACHI,1390.0,D:\ai_warehouse\raw_images\shopify_store\nachi\nachi_25tab06u_gm_p4_25_mm_bore_super_precision_ball_screw_support_bearing_angular_contact_25_mm_rs_1390.0.jpg
48,,,,D:\ai_warehouse\raw_images\shopify_store\unknown_brand\nan_nan_rs_nan.jpg
49,,,,D:\ai_warehouse\raw_images\shopify_store\unknown_brand\nan_nan_rs_nan.jpg
50,"MAF PRO VC25140 Wet & Dry Vacuum Cleaner – 25 Litre, 1400W - Heavy-Duty Industrial Vacuum with Blower & Suction",MAF PRO,3721.0,D:\ai_warehouse\raw_images\shopify_store\maf_pro\maf_pro_vc25140_wet_dry_vacuum_cleaner_25_litre_1400w_heavy_duty_industrial_vacuum_with_blower_suction_vc25140_rs_3721.0.jpg
51,KPT 18V Cordless Drill Machine – Heavy-Duty Brush Motor Drill Driver for Professional Use,KPT,2499.0,D:\ai_warehouse\raw_images\shopify_store\kpt\kpt_18v_cordless_drill_machine_heavy_duty_brush_motor_drill_driver_for_professional_use_18v_cordless_drill_rs_2499.0.jpg
52,KPT 12V Cordless Drill Machine – Compact Rechargeable Drill Driver for Home & Professional Use,KPT,2042.0,D:\ai_warehouse\raw_images\shopify_store\kpt\kpt_12v_cordless_drill_machine_compact_rechargeable_drill_driver_for_home_professional_use_12v_cordless_drill_rs_2042.0.jpg
53,High Tensile Allen Key Blackened Bolt – M5 Short MS (Blackened Finish),Generic,9.9,D:\ai_warehouse\raw_images\shopify_store\generic\high_tensile_allen_key_blackened_bolt_m5_short_ms_blackened_finish_single_piece_rs_9_9_rs_9.9.jpg
55,High Tensile Allen Key Blackened Bolt – 6mm x 35mm,Generic,5.0,D:\ai_warehouse\raw_images\shopify_store\generic\high_tensile_allen_key_blackened_bolt_6mm_x_35mm_single_pc_rs_5_rs_5.0.jpg
